No,KoreanName,EnglishName,KCD,VCode,Support,PrimarySpecialty,RelatedSpecialties,AllSpecialties,Confidence,Reason
1398,11장완 말단부 삼염색체 증후군,11q distal trisomy syndrome,Q92.3,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 삼염색체, 염색체, syndrome"
1397,12번 염색체 단완 13 부분의 미세중복,12p13 microduplication,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 중복, 미세중복, 염색체, duplication"
1396,12번 염색체 단완의 중복 증후군,12p duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1395,12번 염색체 장완 13 부분의 미세중복,12q13 microduplication,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 중복, 미세중복, 염색체, duplication"
1394,12번 염색체 장완의 결손 증후군,12q deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1393,12번 염색체 장완의 중복 증후군,12q duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1392,13번 염색체 장완 12.3 부분의 미세결손 증후군,13q12.3 microdeletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, 염색체"
1391,13번 염색체 장완 21-22 부분의 결손,13q21-22 deletion,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 결손, 염색체, deletion"
1390,13번 염색체 장완의 말단부 단일염색체증,Distal monosomy 13q,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 단일염색체, 염색체, monosomy"
1389,13번 염색체 장완의 부분 결손,Partial deletion of the long arm of chromosome 13,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 결손, 염색체, deletion, chromosome"
1388,"13삼염색체증, 감수분열비분리","Trisomy 13, meiotic nondisjunction",Q91.4,V160,의료비(급여부분),이비인후과,소아청소년과/의학유전학,소아청소년과/의학유전학; 이비인후과,중상,"소아청소년과/의학유전학: 삼염색체, 염색체, trisomy | 이비인후과: ot"
1387,"13삼염색체증, 섞임증형(유사분열비분리)","Trisomy 13, mosaicism (mitotic nondisjunction)",Q91.5,V160,의료비(급여부분),이비인후과,소아청소년과/의학유전학,소아청소년과/의학유전학; 이비인후과,중상,"소아청소년과/의학유전학: 삼염색체, 염색체, trisomy | 이비인후과: ot"
1386,"13삼염색체증, 전위","Trisomy 13, translocation",Q91.6,V160,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 삼염색체, 염색체, trisomy"
1385,13삼염색체증후군,Trisomy 13 Syndrome,Q91.7,V160,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 삼염색체, 염색체, syndrome"
1384,14번 염색체 장완 24.2-31.1 부분의 미세결손,14q24.2q31.1 microdeletion,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 결손, 미세결손, 염색체, deletion"
1383,14번 염색체 장완 말단부의 단일염색체증,Distal monosomy 14q,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 단일염색체, 염색체, monosomy"
1382,14번 염색체 장완의 결손 증후군,14q deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1381,14번 염색체 장완의 중복 증후군,14q duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1380,15 장완13.3 미세결손 증후군,15q13.3 microdeletion syndrome,Q93.5,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, syndrome"
1379,15번 고리모양 염색체,Ring chromosome 15,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 염색체, chromosome"
1378,15번 염색체 장완 11-13 부분의 미세중복 증후군,15q11q13 microduplication syndrome,Q92.3,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 미세중복, 염색체"
1377,15번 염색체 장완의 결손 증후군,15q deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1376,15번 염색체 장완의 중복 증후군,15q duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1375,15장완 사염색체(증)(쌍중심절 15번 염색체 증후군),Tetrasomy 15q (isodicentric 15 chromosome syndrome),Q93.2,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 염색체, syndrome, chromosome"
1374,15장완11.2 미세결손 증후군,15q11.2 microdeletion syndrome,없음,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, syndrome"
1373,16단완11.2 미세중복,16p 11.2 microduplication,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 중복, 미세중복, duplication, microduplication"
1372,16번 염색체 단완의 11-12 부분의 미세결손 증후군,16p11p12 microdeletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, 염색체"
1371,16번 염색체 단완의 결손,Deletion of short arm of chromosome 16,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 결손, 염색체, deletion, chromosome"
1370,16번 염색체 단완의 결손 증후군,16p deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1369,16번 염색체 단완의 중복 증후군,16p duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1368,16번 염색체 장완의 결손 증후군,16q deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1367,16번 염색체 장완의 중복,16q duplication,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 중복, 염색체, duplication"
1366,17단완13.3 미세중복,17p 13.3 microduplication,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 중복, 미세중복, duplication, microduplication"
1365,17번 염색체 단완 13.1 부분의 미세결손 증후군,Distal 17p13.1 microdeletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, 염색체"
1364,17번 염색체 단완 13.3 부분의 미세결손 증후군,Distal 17p13.3 microdeletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, 염색체"
1363,17번 염색체 단완의 결손 증후군,17p deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1362,17번 염색체 장완 21.31 부분의 미세중복 증후군,17q21.31 microduplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 미세중복, 염색체"
1361,17번 염색체 장완 25.1 부분의 중복 증후군,17q25.1 duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1360,17번 염색체 장완의 결손 증후군,17q deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1359,17번 염색체 장완의 중복 증후군,17q duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1358,18 단완 염색체 결손,18 short arm chromosome deletion,Q93.5,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 결손, 염색체, deletion, chromosome"
1357,18번 고리모양 염색체,Ring chromosome 18,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 염색체, chromosome"
1356,18번 염색체 단완의 사염색체증,Tetrasomy 18p,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,소아청소년과/의학유전학: 염색체
1355,18번 염색체 장완의 결손 증후군,18 long arm deletion syndrome,Q93.5,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1354,18번 염색체 장완의 중복 증후군,18q duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1353,"18삼염색체증, 감수분열비분리","Trisomy 18, meiotic nondisjunction",Q91.0,V160,의료비(급여부분),이비인후과,소아청소년과/의학유전학,소아청소년과/의학유전학; 이비인후과,중상,"소아청소년과/의학유전학: 삼염색체, 염색체, trisomy | 이비인후과: ot"
1352,"18삼염색체증, 섞임증형(유사분열비분리)","Trisomy 18, mosaicism (mitotic nondisjunction)",Q91.1,V160,의료비(급여부분),이비인후과,소아청소년과/의학유전학,소아청소년과/의학유전학; 이비인후과,중상,"소아청소년과/의학유전학: 삼염색체, 염색체, trisomy | 이비인후과: ot"
1351,"18삼염색체증, 전위","Trisomy 18, translocation",Q91.2,V160,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 삼염색체, 염색체, trisomy"
1350,18장완 말단부 결손 증후군,18q distal deletion syndrome,Q93.5,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, syndrome, deletion"
1349,18장완단일염색체증,18q monosomy,Q93.5,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 단일염색체, 염색체, monosomy"
1348,19번 염색체 단완 13.3 부분의 중복,19p13.3 duplication,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 중복, 염색체, duplication"
1347,19번 염색체 단완의 결손 증후군,19p deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1346,19번 염색체 장완의 중복 증후군,19q duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1345,1번 염색체 단완 31-32 부분의 미세결손,1p31-1p32 microdeletion,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 결손, 미세결손, 염색체, deletion"
1344,1번 염색체 단완 36부분의 미세결손증후군,1p36 Microdeletion Syndrome,Q93.5,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, 염색체"
1343,1번 염색체 단완의 결손 증후군,1p deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1342,1번 염색체 단완의 중복 증후군,1p duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1341,1번 염색체 장완 21.1 부분의 중복 증후군,1q21.1 duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1340,1번 염색체 장완 21.3 부분의 미세결손 증후군,1q21.3 microdeletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, 염색체"
1339,1번 염색체 장완 44부분의 미세결손 증후군,1q44 microdeletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, 염색체"
1338,1번 염색체 장완의 21.1 부분의 미세결손 증후군,1q21.1 microdeletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, 염색체"
1337,1번 염색체 장완의 결손 증후군,1q deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1336,1번 염색체 장완의 중복 증후군,1q duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1335,20번 염색체 단완의 결손 증후군,20p deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1334,20번 염색체 단완의 삼염색체증,Trisomy 20p,Q92.8,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 삼염색체, 염색체, trisomy"
1333,20번 염색체 장완의 결손 증후군,20q deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1332,20번 염색체 장완의 말단부 삼염색체증,Distal trisomy 20q,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 삼염색체, 염색체, trisomy"
1331,21-수산화효소결핍,21-Hydroxylase deficiency,E25.0,V115,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1330,21번 염색체 장완의 결손 증후군,21 long arm deletion syndrome,Q93.5,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1329,21삼염색체증 NOS,Trisomy 21 NOS,Q90.9,V159,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 삼염색체, 염색체, trisomy"
1328,"21삼염색체증, 감수분열비분리","Trisomy 21, meiotic nondisjunction",Q90.0,V159,의료비(급여부분),이비인후과,소아청소년과/의학유전학,소아청소년과/의학유전학; 이비인후과,중상,"소아청소년과/의학유전학: 삼염색체, 염색체, trisomy | 이비인후과: ot"
1327,"21삼염색체증, 섞임증형(유사분열비분리)","Trisomy 21, mosaicism (mitotic nondisjunction)",Q90.1,V159,의료비(급여부분),이비인후과,소아청소년과/의학유전학,소아청소년과/의학유전학; 이비인후과,중상,"소아청소년과/의학유전학: 삼염색체, 염색체, trisomy | 이비인후과: ot"
1326,"21삼염색체증, 전위","Trisomy 21, translocation",Q90.2,V159,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 삼염색체, 염색체, trisomy"
1325,22번 염색체 장완의 결손 증후군,22q deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1324,22번 염색체 장완의 중복 증후군,22q duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1323,2번 염색체 단완 결손,2p deletion,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 결손, 염색체, deletion"
1322,2번 염색체 단완의 결손 증후군,2p deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1321,2번 염색체 단완의 중복 증후군,2p duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1320,2번 염색체 장완 33-37 부분의 중복 증후군,2q33-37 duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1319,2번 염색체 장완의 24 부분의 미세결손 증후군,2q24 microdeletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, 염색체"
1318,2번 염색체 장완의 31-33 부분의 미세결손,2q31-q33 microdeletion,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 결손, 미세결손, 염색체, deletion"
1317,2번 염색체 장완의 37부분의 미세결손증후군,2q37 microdeletion syndrome,Q93.5,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, 염색체"
1316,2번 염색체 장완의 결손 증후군,2q deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1315,2번 염색체 장완의 중복 증후군,2q duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1314,2장완11 미세중복 증후군,2q11 microduplication syndrome,없음,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 미세중복, syndrome"
1313,3 장완29 미세결손 증후군,3q29 microdeletion syndrome,Q93.5,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, syndrome"
1312,3M 증후군,3M syndrome,없음,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, syndrome"
1311,3MC 증후군,3MC syndrome (Malpuech-Michels-Mingarelli-Carnevale),없음,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, syndrome"
1310,3번 염색체 단완의 결손,Deletion of short arm of chromosome 3,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 결손, 염색체, deletion, chromosome"
1309,3번 염색체 단완의 결손 증후군,3p deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1308,3번 염색체 장완 26 부분의 중복,3q26 duplication,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 중복, 염색체, duplication"
1307,3번 염색체 장완의 13.31 부분의 미세 결손 증후군,3q13.31 microdeletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1306,3번 염색체 장완의 결손,Deletion of long arm of chromosome 3,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 결손, 염색체, deletion, chromosome"
1305,3번 염색체 장완의 결손 증후군,3q deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1304,3번 염색체 장완의 중복 증후군,3q duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1303,4 단완 염색체 부분 결손,Partial deletion of the short arm of chromosome 4,Q93.3,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 결손, 염색체, deletion, chromosome"
1302,4번 염색체 단완의 중복 증후군,4p duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1301,4번 염색체 장완의 21 부분의 미세결손 증후군,4q21 microdeletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, 염색체"
1300,4번 염색체 장완의 34 부분의 미세결손,4q34 microdeletion,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 결손, 미세결손, 염색체, deletion"
1299,4번 염색체 장완의 결손 증후군,4q deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1298,4번 염색체 장완의 중복 증후군,4q duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1297,5번 염색체 단완의 결손,Deletion of short arm of chromosome 5,Q93.4,V205,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 결손, 염색체, deletion, chromosome"
1296,5번 염색체 장완 14.3 부분의 미세결손 증후군,5q14.3 microdeletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, 염색체"
